I112D198F,གཏན་བདེའི་གཞི་མ་སྲིད་པའི་རྒྱུད་རིམ་ལ་བརྟག་པ་སྟེ་ལེགས་གནས་ཀུན་འདུས།,W1AC35
IB8D48527,ལེགས་བཤད་འོད་དཀར་འཕྲེང་བ། ༼༡༤༽,W1KG16214
IC5149CB7,དབུ་མ་ལ་འཇུག་པའི་ཚིག་འགྲེལ་ལེགས་བཤད་རྗེས་འབྲང་།,W1AC26
I1E54444A,དྭགས་པོ་ཆོས་བཞིའི་རྩ་འགྲེལ།,W1KG18170
IDF067682,གེ་སར་སྒྲུང་གི་ས་མིང་ཞིབ་འཇུག,W1AC361
I21072C7E,གསུང་འབུམ། རྒྱལ་དབང་བསོད་ནམས་རྒྱ་མཚོ།,W1PD137879
I00005045,འདུལ་བའི་སྡེ་སྣོད་ལེགས་བཤད་སྐལ་བཟང་ནོར་བུའི་ཕྲེང་བ།,W1KG25264
IFB324196,ཙ་རི་སྨན་རྫོང་།,W1KG16803
I88F2E4F2,ལམ་རིམ་བདུད་རྩི་སྙིང་པོ།,W1KG25144
I4F64D463,གྲུབ་པའི་རིག་འཛིན་ཆེན་པོ་རང་རིག་རྡོ་རྗེའི་གསུང་གཅེས་བཏུས།,W3CN8185
I40A09D11,ཀུན་མཁྱེན་པདྨ་དཀར་པོའི་རྣམ་ཐར་སྙན་ངག་ཅན་གྱི་འགྲེལ་བ།,W1KG15846
I0611E275,དགའ་ལྡན་ཤར་རྩེའི་ཆོས་སྤྱོད་མཛད་རིམ་ངོ་མཚར་བསྟན་པའི་མཛེས་རྒྱན་ཉིན་བྱེད་སྣང་བའི་ཡང་གསལ།,W1KG24220
I4E914622,སྐབས་བཞི་པའི་སྡོམ་འགྲེལ་དང་ཤེས་ཁྱད་བྱེད་ངོའི་མཚན་ཉིད་བཞིའི་རྣམ་གཞག,W1AC20
ID6796720,མངོན་པ་མཛོད་ཀྱི་རྣམ་བཤད་བློ་གསལ་བློའི་པདྨ་ཁ་འབྱེད།,W1KG25174
I7BAAB10F,ཏཱ་རེ་ལྷ་མོ་དང་ནམ་སྤྲུལ་འཇིགས་མེད་ཕུན་ཚོགས་ཀྱི་གཏེར་ཆོས།,W2PD17467
